104年09月22日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價指數,"9,670.14",＋,73.07,0.76
發行量加權股價指數,"8,365.92",＋,58.88,0.71
臺灣50指數,"6,172.52",＋,32.02,0.52
臺灣中型100指數,"6,186.20",＋,43.08,0.70
臺灣資訊科技指數,"6,679.30",－,8.12,-0.12
臺灣發達指數,"7,508.65",＋,74.31,1.00
臺灣高股息指數,"4,902.56",＋,12.04,0.25
臺灣就業99指數,"5,163.68",＋,39.45,0.77
臺灣高薪100指數,"4,660.47",＋,30.50,0.66
臺灣低波動高股息指數,"1,288.16",＋,11.37,0.89
未含金融保險股指數,"6,961.29",＋,48.03,0.69
未含電子股指數,"12,392.22",＋,108.07,0.88
未含金融電子股指數,"10,451.94",＋,95.20,0.92
水泥窯製類指數,453.11,＋,1.57,0.35
塑膠化工類指數,713.50,＋,4.00,0.56
機電類指數,"1,814.87",＋,10.09,0.56
水泥類指數,121.01,＋,0.50,0.41
食品類指數,"1,320.66",＋,13.87,1.06
塑膠類指數,204.76,＋,1.51,0.74
紡織纖維類指數,609.75,＋,8.27,1.37
電機機械類指數,142.92,＋,1.18,0.83
電器電纜類指數,29.34,＋,0.15,0.51
化學生技醫療類指數,91.14,＋,0.13,0.14
化學類指數,87.32,＋,0.78,0.90
生技醫療類指數,67.65,－,0.50,-0.73
玻璃陶瓷類指數,34.06,－,0.05,-0.15
造紙類指數,150.57,＋,0.16,0.11
鋼鐵類指數,78.24,＋,0.26,0.33
橡膠類指數,288.22,＋,0.89,0.31
汽車類指數,267.72,＋,1.14,0.43
電子類指數,322.35,＋,1.77,0.55
半導體類指數,100.25,－,0.21,-0.21
電腦及週邊設備類指數,89.41,＋,1.38,1.57
光電類指數,31.65,＋,0.03,0.09
通信網路類指數,110.87,＋,1.26,1.15
電子零組件類指數,77.13,＋,1.03,1.35
電子通路類指數,95.90,＋,0.16,0.17
資訊服務類指數,87.12,＋,1.52,1.78
其他電子類指數,85.15,＋,0.94,1.12
建材營造類指數,239.26,＋,1.53,0.64
航運類指數,69.97,－,0.02,-0.03
觀光類指數,114.74,＋,0.48,0.42
金融保險類指數,"1,059.50",＋,8.31,0.79
貿易百貨類指數,202.44,＋,3.36,1.69
油電燃氣類指數,99.24,＋,2.89,3.00
其他類指數,251.47,＋,2.03,0.81
報酬指數系列,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價報酬指數,"10,349.26",＋,78.44,0.76
發行量加權股價報酬指數,"13,240.85",＋,93.54,0.71
臺灣50報酬指數,"9,874.77",＋,51.23,0.52
臺灣中型100報酬指數,"9,240.20",＋,64.35,0.70
臺灣資訊科技報酬指數,"10,160.02",－,12.35,-0.12
臺灣發達報酬指數,"10,850.21",＋,107.38,1.00
臺灣高股息報酬指數,"8,685.03",＋,21.32,0.25
臺灣就業99報酬指數,"6,097.37",＋,46.59,0.77
臺灣高薪100報酬指數,"4,899.62",＋,32.06,0.66
臺灣低波動高股息報酬指數,"2,656.82",＋,23.45,0.89
未含金融電子股報酬指數,"16,618.83",＋,152.68,0.93
水泥類報酬指數,170.25,＋,0.71,0.42
食品類報酬指數,"1,570.11",＋,16.49,1.06
塑膠類報酬指數,261.30,＋,1.93,0.74
紡織纖維類報酬指數,769.85,＋,10.45,1.38
電機機械類報酬指數,177.63,＋,1.47,0.83
電器電纜類報酬指數,33.55,＋,0.17,0.51
化學生技醫療類報酬指數,114.33,＋,0.30,0.26
化學類報酬指數,112.52,＋,1.00,0.90
生技醫療類報酬指數,80.47,－,0.39,-0.48
玻璃陶瓷類報酬指數,36.59,－,0.05,-0.14
造紙類報酬指數,179.75,＋,0.19,0.11
鋼鐵類報酬指數,100.92,＋,0.33,0.33
橡膠類報酬指數,359.28,＋,1.12,0.31
汽車類報酬指數,326.53,＋,1.39,0.43
電子類報酬指數,468.53,＋,2.57,0.55
半導體類報酬指數,139.50,－,0.29,-0.21
電腦及週邊設備類報酬指數,135.53,＋,2.09,1.57
光電類報酬指數,38.50,＋,0.04,0.10
通信網路類報酬指數,177.63,＋,2.01,1.14
電子零組件類報酬指數,110.91,＋,1.49,1.36
電子通路類報酬指數,151.26,＋,0.26,0.17
資訊服務類報酬指數,139.48,＋,2.45,1.79
其他電子類報酬指數,102.65,＋,1.14,1.12
建材營造類報酬指數,328.03,＋,2.20,0.68
航運類報酬指數,84.25,－,0.02,-0.02
觀光類報酬指數,130.21,＋,0.55,0.42
金融保險類報酬指數,"1,369.59",＋,10.74,0.79
貿易百貨類報酬指數,245.94,＋,4.09,1.69
油電燃氣類報酬指數,119.32,＋,3.48,3.00
其他類報酬指數,334.08,＋,2.69,0.81
成交統計,成交金額(元),成交股數(股),成交筆數
1.一般股票,"62,563,174,329","1,821,450,087","684,073"
2.台灣存託憑證,"63,299,595","14,489,411","1,676"
3.受益憑證,0,0,0
